,asset,time,AdrActCnt,HashRate,ReferenceRateUSD,TxCnt
120,btc,2019-12-10T00:00:00.000000000Z,803226,94736471.25392947,7340.22745908825,321466
121,btc,2019-12-11T00:00:00.000000000Z,771631,84494690.57782899,7232.09178375219,288155
122,btc,2019-12-12T00:00:00.000000000Z,722853,85134801.87008528,7200.46444599649,310072
123,btc,2019-12-13T00:00:00.000000000Z,746512,97296916.4229546,7192.84902425482,329512
124,btc,2019-12-14T00:00:00.000000000Z,623464,96656805.13069834,7244.90372004676,291279
125,btc,2019-12-15T00:00:00.000000000Z,657604,79373800.23977876,7071.10709029807,258366
126,btc,2019-12-16T00:00:00.000000000Z,777556,100497472.884236,7111.28666995909,330126
127,btc,2019-12-17T00:00:00.000000000Z,875713,90255692.20813552,6882.39579532437,314849
128,btc,2019-12-18T00:00:00.000000000Z,751472,85774913.16234156,6608.96197983635,318200
129,btc,2019-12-19T00:00:00.000000000Z,725702,100640144.00517273,7284.6254836353,319162
130,btc,2019-12-20T00:00:00.000000000Z,708265,100413778.96363248,7146.16763763881,332107
131,btc,2019-12-21T00:00:00.000000000Z,610208,113287340.36922646,7184.21917206312,305042
132,btc,2019-12-22T00:00:00.000000000Z,589250,108781593.87726857,7140.29801127995,282133
133,btc,2019-12-23T00:00:00.000000000Z,727796,92045964.0499964,7479.40240789012,313917
134,btc,2019-12-24T00:00:00.000000000Z,649535,80459758.78496182,7321.7487238457,283750
135,btc,2019-12-25T00:00:00.000000000Z,537049,82390792.9958009,7235.62908381064,241535
136,btc,2019-12-26T00:00:00.000000000Z,653003,107494237.73670918,7191.17416569258,302825
137,btc,2019-12-27T00:00:00.000000000Z,721861,93333320.1905558,7194.63975832846,325259
138,btc,2019-12-28T00:00:00.000000000Z,611206,95908032.4716746,7237.15044728229,291276
139,btc,2019-12-29T00:00:00.000000000Z,589993,99770100.89335278,7306.64330829924,281440
140,btc,2019-12-30T00:00:00.000000000Z,735877,106850559.66642946,7391.578521391,326626
